gender,SeniorCitizen,Partner,Dependents,tenure (months true),PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MonthlyContract,1yContract,2yContract,PaperlessBilling,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,MonthlyCharges,TotalCharges,Churn
0,0,1,0,72,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,42.1,2962,0
1,1,1,0,66,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,45.55,3027.25,0
1,0,0,0,36,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,31.05,1126.35,0
1,0,1,0,57,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,58.75,3437.45,0
0,0,1,0,66,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,56.6,3789.2,0
1,0,0,0,31,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,49.85,1520.1,0
0,0,0,0,69,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,60.05,4176.7,0
0,1,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,64.8,4732.35,0
1,0,0,0,10,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,40.7,449.3,0
0,0,1,0,60,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,60.2,3582.4,0
1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,52.55,52.55,0
0,1,1,1,10,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,34.55,362.6,0
1,0,0,0,40,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,54.55,2236.2,0
0,0,0,0,49,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,30.2,1453.1,0
1,0,1,0,70,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,57.8,4039.3,0
1,0,1,0,71,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,58.25,4145.9,0
0,0,0,1,63,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,40.6,2588.95,0
0,0,1,1,34,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,30.4,938.65,0
1,0,0,0,13,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,30.85,394.1,0
0,0,1,0,62,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,39,2337.45,0
1,0,0,1,51,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,60.15,3077,0
0,0,0,0,72,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,65.55,4807.45,0
1,0,1,0,72,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,65.5,4919.7,0
0,1,1,0,7,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,29.8,220.45,0
0,0,0,0,22,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,56.75,1304.85,0
0,0,0,0,60,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,39.6,2424.5,0
0,0,1,1,70,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,59.5,4144.8,0
1,0,1,1,43,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,51.25,2151.6,0
0,0,1,1,72,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,60.95,4549.05,0
1,0,0,0,70,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,44.6,3058.15,0
0,0,1,0,68,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,54.1,3794.5,0
0,0,0,1,39,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,45.05,1790.6,0
1,1,0,0,65,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,53.5,3517.9,0
0,0,1,0,67,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,50.95,3521.7,0
1,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,29.05,44.75,0
1,0,1,1,45,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,50.9,2333.85,0
0,0,0,0,69,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,35.75,2492.25,0
0,0,0,0,26,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,44.65,1156.55,0
1,0,1,0,71,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,47.6,3377.8,0
1,0,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,64.45,4528,0
1,0,1,0,70,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,49.85,3370.2,0
0,0,0,0,72,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,63.7,4464.8,0
0,0,1,1,61,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,33.6,2117.2,0
1,0,1,0,12,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,49.85,617.15,0
0,0,0,0,68,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,39.9,2796.35,0
0,0,1,1,66,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,50.55,3364.55,0
0,0,0,0,62,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,43.7,2618.3,0
1,0,1,1,62,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,48.7,3008.55,0
0,0,0,0,71,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,53.95,3888.65,0
1,0,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,63.8,4684.3,0
0,0,0,0,12,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,50.95,605.75,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25.25,25.25,0
0,0,0,0,67,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,49.35,3321.35,0
1,0,0,0,52,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,58.75,3038.55,0
0,0,1,0,70,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,51.05,3635.15,0
1,0,1,1,69,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,46.25,3121.4,0
0,0,1,1,66,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,54.65,3632,0
1,0,1,0,26,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,47.85,1190.5,0
1,0,0,0,54,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,44.1,2369.7,0
0,0,1,0,57,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,57.5,3265.95,0
1,0,1,1,53,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,48.7,2495.2,0
1,0,0,0,70,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,58.35,4214.25,0
1,0,1,0,49,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,40.65,2070.75,0
1,1,0,0,33,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,59.45,1884.65,0
0,1,0,0,55,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,50.05,2743.45,0
0,0,1,0,69,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,60.25,4055.5,0
0,0,1,0,38,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,60,2193.2,0
0,0,1,0,50,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,44.45,2188.45,0
0,0,0,1,23,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,40.65,947.4,0
1,0,0,1,25,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,35.05,844.45,0
0,0,0,0,46,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,30.75,1489.3,0
1,0,1,1,51,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,34.2,1782,0
0,0,0,0,19,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,25.15,468.35,0
1,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25.05,189.95,0
1,0,0,0,56,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,45.05,2560.1,0
0,0,0,0,46,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,60.75,2893.4,0
0,0,0,0,54,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,46.2,2431.95,0
0,0,0,0,53,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,46.3,2546.85,0
1,0,0,0,6,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,29.45,161.45,0
1,0,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,65.7,4575.35,0
1,0,1,0,33,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,59.55,2016.3,0
0,0,0,0,72,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,65.6,4566.5,0
1,0,1,0,57,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,49.9,2782.4,0
0,0,1,0,42,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,40.15,1626.05,0
1,0,1,0,71,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,66.8,4689.15,0
1,0,1,1,67,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,36.15,2434.45,0
1,0,1,1,46,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,35.05,1620.25,0
0,0,1,0,56,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,54.05,2959.8,0
1,0,0,0,39,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,41.1,1597.05,0
1,0,0,0,66,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,62.5,4136.4,0
0,0,1,1,15,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,30.2,469.65,0
0,0,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,65.65,4664.5,0
0,1,0,0,23,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,34.65,768.45,0
0,1,1,0,71,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,52.3,3765.05,0
1,1,1,1,48,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,29.9,1388.75,0
0,0,1,0,44,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,54.3,2390.45,0
1,0,0,0,66,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,61.35,4193.4,0
1,0,1,1,71,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,59.7,4122.65,0
1,0,1,0,70,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,64.55,4504.9,0
0,0,1,1,63,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,39.35,2395.05,0
0,0,0,0,34,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,25.05,852.7,0
1,0,0,0,36,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,34.85,1267.2,0
0,0,1,1,23,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,30.35,678.75,0
0,0,0,1,39,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,54.85,2191.7,0
1,0,0,0,39,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,40.3,1630.4,0
0,0,0,1,26,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,39.95,1023.75,0
0,0,0,0,13,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,25.15,331.85,0
1,0,1,1,70,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,58.4,4113.15,0
0,1,1,0,54,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,24.95,1364.75,0
0,0,0,0,70,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,48.4,3442.8,0
0,0,1,1,52,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,44.25,2276.1,0
1,0,1,0,43,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,34,1505.35,0
0,1,1,0,63,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,36.1,2298.9,0
1,0,1,1,61,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,61.45,3751.15,0
1,0,1,1,45,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,51,2264.5,0
0,0,1,1,64,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,60.05,3845.45,0
1,0,1,0,60,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,37.7,2288.7,0
1,0,0,0,39,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,41.15,1700.9,0
1,0,1,1,61,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,50.7,3088.75,0
0,0,0,1,50,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,43.05,2208.05,0
0,1,1,0,72,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,63.1,4685.55,0
1,0,1,1,25,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,58.6,1502.65,1
0,1,1,0,27,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,30.75,805.1,1
0,0,0,0,13,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,45.55,597,1
1,0,0,0,19,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,44.85,893.55,1
1,0,0,1,39,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,30.1,1131.3,1
0,0,0,0,18,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,33.5,600,1
1,1,1,0,43,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,55.55,2342.2,1
1,0,0,0,24,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,54.15,1240.25,1
1,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,35.2,108.95,1
1,0,0,0,37,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,28.6,973.55,1
1,0,0,0,7,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,40.1,293.3,1
0,0,0,0,39,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,48.95,1880.85,1
1,0,1,1,30,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,51.2,1561.5,1
0,0,0,0,2,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,40.4,77.15,1
0,0,0,0,6,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,30.5,208.7,1
1,1,1,0,24,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,40.65,933.3,1
0,0,0,0,9,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,34.7,296.1,1
1,0,0,0,29,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,25.1,712.85,1
1,0,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,29.7,91.7,1
0,0,1,1,72,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,55.45,4179.2,0
0,0,1,1,72,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,45.25,3139.8,0
1,0,1,1,68,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,60.3,4109,0
1,0,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,65.2,4784.45,0
1,0,0,0,26,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,44.45,1183.8,0
1,0,0,0,11,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,40.4,422.6,0
0,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,25.25,186.3,0
1,0,0,0,26,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,50.35,1277.5,0
0,0,1,1,32,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,50.6,1653.45,0
1,0,1,1,60,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,59.85,3590.2,0
1,0,0,0,6,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,45,298.7,0
1,0,1,1,12,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,33.15,444.75,0
0,0,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,64.8,4719.75,0
1,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,34.8,113.95,0
1,0,1,1,49,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,35.8,1782,0
1,0,1,1,16,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,35.5,552.7,0
0,1,0,0,70,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,44.05,3011.65,0
0,0,1,1,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25.55,467.85,0
0,0,1,1,36,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,60.7,2234.55,0
0,0,1,1,42,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,45.1,2049.05,0
1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,56.05,56.05,0
1,0,1,1,58,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,55.5,3166.9,0
0,1,0,0,52,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,48.8,2555.05,0
0,0,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,65.1,4754.3,0
1,0,0,0,37,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,40.2,1478.85,0
0,0,0,0,66,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,29.45,1983.15,0
0,0,1,1,39,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,25.25,947.75,0
1,0,0,0,51,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,56.4,2928.5,0
1,0,1,1,61,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,51.35,3244.4,0
0,1,0,0,4,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,50.95,207.35,0
0,0,0,0,40,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,36,1382.9,0
1,0,1,1,35,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,46.35,1662.05,0
0,0,0,0,54,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,45.2,2460.55,0
1,0,0,0,50,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,39.7,1932.75,0
1,0,1,1,48,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,29.5,1423.05,0
0,0,1,1,42,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,48.15,2032.3,0
0,0,1,1,27,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,45.85,1246.4,0
1,0,1,1,67,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,35.7,2545.7,0
1,0,1,1,48,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,45,2196.3,0
1,0,0,0,29,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,39.5,1082.75,0
0,0,1,1,28,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,60,1682.05,0
0,0,1,1,7,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,49.65,305.55,0
0,0,1,1,4,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,38.55,156.1,0
1,0,1,0,17,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,35.65,646.05,0
0,0,1,1,67,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,50.9,3281.65,0
1,0,1,1,72,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,53.8,3952.45,0
1,0,1,1,36,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,40.65,1547.35,0
0,0,1,0,46,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,40.4,1842.7,0
0,0,0,0,52,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,63.9,3334.95,0
0,0,0,0,51,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,44.45,2181.55,0
0,0,1,0,49,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,49.65,2409.9,0
0,0,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,65.25,4478.85,0
0,0,1,0,62,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,38.6,2345.55,0
0,0,0,1,33,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,34.05,1113.95,0
0,1,1,0,72,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,64.45,4641.1,0
0,0,1,0,25,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,38.1,970.4,0
1,0,0,0,6,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,50.95,307.6,0
1,0,1,0,71,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,61.4,4310.35,0
1,0,1,1,26,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,38.85,1025.15,0
0,0,1,0,58,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,45,2689.35,0
0,1,0,0,12,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,29.35,381.2,0
1,0,1,1,41,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,35.4,1412.4,0
0,0,1,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,29.8,94.4,0
1,0,0,0,61,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,43.7,2696.55,0
1,0,0,0,5,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,50.95,229.4,0
0,0,0,0,40,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,62.05,2511.55,0
0,0,1,1,29,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,55.35,1636.95,0
0,0,0,0,7,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,35.5,249.55,0
0,0,0,1,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,25.35,566.1,0
1,0,1,1,43,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,60.4,2640.55,0
0,1,1,0,72,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,64.95,4546,0
0,1,1,0,59,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,64.05,3886.85,0
1,0,0,0,30,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,40.35,1187.05,0
1,0,0,0,65,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,59.95,3921.1,0
0,0,1,0,69,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,60.8,4263.4,0
0,0,1,1,56,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,36.1,1971.5,0
0,1,0,0,5,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,45.4,214.75,0
0,1,1,0,71,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,46.35,3353.4,0
0,0,0,0,57,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,53.35,3090.05,0
0,0,0,0,53,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,54.9,3045.75,0
0,0,1,0,42,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,25.1,1097.15,0
1,0,1,1,69,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,54.95,3772.5,0
0,0,0,0,37,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,35.8,1316.9,0
1,1,0,0,43,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,33.45,1500.25,0
0,0,1,1,20,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,39.4,825.4,0
0,0,1,1,18,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,46.4,812.4,0
1,0,0,0,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24.9,505.95,0
0,0,1,0,70,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,39.15,2692.75,0
